Area,Status,Project Name,Configuration,Carpet,Pricing,Elevation,Flats/Lifts,Amenities,Possession
Station ,RTMI,Pearl Castle,2bhk ,627,1.96cr all in + CP,G+11,2flats/ 2lifts,NA,OC Received 
,,,,642,1.99cr all in,,,,
,,,,,,,,,
  ,NP,Aditya Paradiso,1bhk,470,1.80cr all in ,G+10,2falts / 2 lifts,Gym/Kids play, 
,,,,480,1.85cr all in ,,,,
,,,2 bhk,665,2.50cr all in ,,,,
,,,,695,2.60cr all in ,,,,
,,,,670,2.55cr all in ,,,,
,,,,,,,,,
Station/SV Road,RTMI,The Residency,1bhk,311,86.50lac all in ,G+20,4flats/2lifts,Gym / Garden ,OC Received 
,,,,350,99 lac all in ,,,,
,,,2bhk,453,1.30 cr all in ,,,,
,,,,,,,,,
Ceaser Road,RTMI,MK Gracia,2bhk ,583,2.30cr all in ,G+20,5flats/2lifts,All Basic,OC Received 
,,,,646,2.54cr all in ,,,,
,,,,686,2.79cr all in ,,,,
,,,2bhk + Balcony,619,2.47cr all in ,,,,
,,,,,,,,,
Ceaser Road,UC,Gayatri Enclave ,1bhk,416,,G+15,5flats/2lifts,Basic,
,,,,426,,,,,
,,,2bhk,545,,,,,
,,,,585,,,,,
,,,,662,,,,,
,,,3bhk,779,2.58cr,,,,
,,,,826,2.80cr,,,,
,,,,,,,,,
,,,,,,,,,
Ceaser RD/ Amboli ,NP,Sanghvi Palazzo ,1bhk ,369,sold out,G+9,5flats/2lifts,Basic,June 2025
,,,2bhk,687,2.27 Cr All in,,,,
,,,3bhk,770,sold out,,,,
,,,,,,,,,
Ceaser RD/ Amboli ,RTMI,Gurnani Palms ,2bhk (1 unit ),725,2.75cr +sdr,G+15,2flats / 2lifts ,All Amenities,Oc Received 
,,,3BHK,1060,3.99 cr all in ,,,,
,,,,,,,,,
Ceaser RD/ Amboli ,NP,Parijat Chs ,1bhk ,315,1.05cr all in ,G+10,6flats/ 2lifts,No Amenities ,June 2025
,,,,415,1.21cr all in ,,,,
,,,,,,,,,
JP Road,UC,Romell Asrava,2bhk ,700,2.60cr all in ,G+16,4flats/2lifts,All Amenities,Dec 2027
,,,,710,2.63cr all in ,,,,
,,,,729,2.70cr all in ,,,,
,,,3bhk,948,3.51cr all in ,,,,
,,,,963,3.56cr all in ,,,,
,,,,,,,,,
JP Road,UC,Alpine Primo,1bhk ,423,1. 55crall in ,G+2P+14,5flats/2lifts    ,All Amenities,Dec 2025
,,,2bhk ,597,2.23cr all in ,,,,
,,,,606,2.26cr all in ,,,,
,,,,632,2.49cr all in,,,,
,,,,633,2.50cr all in ,,,,
,,,,635,2.51cr all in,,,,
,,,,639,2.53cr all in ,,,,
,,,,646,2.40cr all in ,,,,
,,,,678,2.67cr all in ,,,,
,,,,700,2.75cr all in ,,,,
,,,,703,2.76cr all in ,,,,
,,,2bhk + balcony ,780,3.05cr all in ,,,,
,,,3bhk,948,3.69cr all in ,,,,
,,,,949,3.69cr all in ,,,,
,,,,1018,3.95cr all in ,,,,
,,,3bhk+balcony,1050,4.07cr all in ,,,,
,,,,,,,,,
JP Road,NP,Kaveri Towers,1bhk,480,1.71cr all in ,G+13,3flats/2lifts,Basic,June 2025
,,,,482,1.71cr all in ,,,,
,,,2bhk,675,2.51cr all in ,,,,
,,,3bhk,1163,4.26cr all in ,,,,
,,,,,,,,,
JP Road,UC,Sajay Naumi Shresht,1 BHK,425,1.63 Cr all in,G+1c+2-16,4flats/2 lifts,All Basic,June 2027
,,,2bhk ,613,2.30 Cr all in,,,,
,,,,669,2.30 Cr all in,,,,
,,,2bhk+balcony ,711,2.64 Cr all in,,,,
,,,,715,2.62 Cr all in,,,,
,,,3bhk +balcony ,1022,3.75 Cr all in,,,,
,,,,,,,,,
JP Road,NP,Tathastu ,1bhk ,401,1.32cr all in ,G+9,4flats/2lifts ,Basic ,June 2025
,,,,449,1.48cr all in ,,,,
,,,2bhk,698,2.30cr all in ,,,,
,,,,,,,,,
,,,,,,,,,
JP Road,RTMI,Naman Habitat,2bhk ,769,3.24cr all in ,2B+4P+15,4flats/2lifts,All Amenities ,Part Oc Received 
,,,,777,3.27cr all in ,,,,
,,,,807,3.39cr all in ,,,,
,,,3bhk ,1037,4.37cr all in ,,,,
,,,,1094,4.60cr al in ,,,,
,,,,,,,,,
JP Road,NP ,Durva ,2bhk,696,2.50cr all in ,G+9,3flats/2lifts,Basic,June 2025
,,,,717,2.57cr all in ,,,,
,,,,,,,,,
JP Road,UC,Umar Park,1bhk ,438,1.39cr++,G+15,5flats/3lifts,Basic,June 2026
,,,,447,1.43r++,,,,
,,,2bhk,604,1.93cr++,,,,
,,,,654,2.08cr++,,,,
,,,,722,2.30cr++,,,,
,,,,747,2.39cr++,,,,
,,,,,,,,,
JP Road,UC,Delta Meadows,2bhk,485,1.55cr++,G+1c+15,3flats/2lifts,Basic ,Dec 2026
,,,,541,1.73cr++,,,,
,,,,651,2.09cr++,,,,
,,,,664,2.13cr++,,,,
,,,,,,,,,
JP Road,UC,Integrated kavya,2bhk,712,2.50cr,G+15,2flats/2lifts,Basic ,Dec 2026
,,,2.5bhk,812,3.15 cr,,,,
,,,3bhk,1000,3.80cr,,,,
,,,3.5bhk,1147,4.15cr,,,,
,,,,,,,,,
JP Road,UC,Boston ,2.5bhk ,784,34000,G+21,2flats/3lifts,Basic,Sep 2027
,,,,814,,,,,
,,,3bhk,908,,,,,
,,,,970,,,,,
,,,,1013,,,,,
,,,,,,,,,
Veera Desai,UC,Fortune Venetian ,2bhk ,564,1.99cr++,G+19,5flats/3lifts,Basic,Dec2027
,,,,616,2.16cr++,,,,
,,,,720,2.51cr++,,,,
,,,3bhk ,909,3.14cr++,,,,
,,,,944,3.25cr++,,,,
,,,,,,,,,
Veera Desai,UC,Pranami Bliss ,1bhk ,384,1.16cr all in ,G+19,5flats/2lifts,Basic,June 2026
,,,,395,1.19cr all in ,,,,
,,,,414,1.25cr all in ,,,,
,,,,417,1.25cr all in ,,,,
,,,2bhk,533,,,,,
,,,,540,1.63cr all in ,,,,
,,,,610,1.84cr all in ,,,,
,,,,621,1.87cr all in ,,,,
,,,,,,,,,
Veera Desai,NP,Arc Aura,2bhk ,530,1.85cr ,G+19,5flats/2lifts,Basic,June 2025
,,,,540,1.85cr,,,,
,,,,628,2.20cr ,,,,
,,,,,,,,,
Veera Desai,NP,Signature ,1bhk ,428,1.45cr all in ,G+19,7flats/4lifts,Basic ,July 2025
,,,,429,1.45cr all in ,,,,
,,,,441,1.50cr all in ,,,,
,,,2bhk ,567,2.13cr all in ,,,,
,,,,573,2.15cr all in ,,,,
,,,,590,2.20cr all in ,,,,
